Actual_Trend,Predicted_Trend,Values
1,-1,29348
-1,1,29219
-1,1,28992
-1,-1,27960
-1,-1,27081
-1,-1,26957
-1,1,25766
-1,-1,25409
1,1,26703
-1,-1,25917
1,1,27090
-1,-1,26121
-1,1,25864
-1,-1,23851
1,1,25018
-1,-1,23553
-1,1,21200
1,-1,23185
-1,1,20188
1,-1,21237
-1,1,19898
1,1,20087
-1,-1,19173
-1,1,18591
1,-1,20704
1,1,21200
1,-1,22552
-1,1,21636
1,-1,22327
-1,1,21917
-1,-1,20943
1,-1,21413
-1,1,21052
1,-1,22679
-1,1,22653
1,-1,23433
1,1,23719
-1,-1,23390
1,1,23949
-1,-1,23504
1,1,23537
1,-1,24242
-1,1,23650
-1,-1,23018
1,-1,23475
1,1,23515
1,-1,23775
1,1,24133
-1,-1,24101
1,-1,24633
-1,1,24345
-1,-1,23723
1,1,23749
1,-1,23883
-1,1,23664
1,1,23875
1,-1,24331
-1,1,24221
-1,-1,23764
-1,-1,23247
1,1,23625
1,-1,23685
1,1,24597
-1,-1,24206
1,1,24575
-1,-1,24474
-1,1,24465
1,-1,24995
1,1,25548
-1,-1,25400
-1,-1,25383
1,-1,25475
1,1,25742
1,-1,26269
1,1,26281
1,-1,27110
1,1,27572
-1,-1,27272
-1,-1,26989
-1,-1,25128
1,-1,25605
1,1,25763
1,-1,26289
-1,1,26119
-1,-1,26080
-1,-1,25871
1,-1,26024
1,1,26156
-1,-1,25445
1,1,25745
-1,-1,25015
1,1,25595
1,-1,25812
-1,1,25734
1,-1,25827
1,1,26287
-1,-1,25890
1,-1,26067
-1,1,25706
1,1,26075
1,-1,26085
1,1,26642
1,-1,26870
-1,1,26734
-1,-1,26671
1,-1,26680
1,1,26840
1,-1,27005
-1,1,26652
-1,-1,26469
1,-1,26584
-1,1,26379
1,1,26539
-1,1,26313
1,-1,26428
1,1,26664
1,-1,26828
1,1,27201
1,-1,27386
1,1,27433
1,-1,27791
-1,1,27686
1,-1,27976
-1,1,27896
1,-1,27931
-1,1,27844
-1,-1,27778
-1,1,27692
1,-1,27739
1,1,27930
1,-1,28308
-1,1,28248
1,-1,28331
1,1,28492
1,-1,28653
-1,1,28430
1,-1,28645
1,1,29100
-1,-1,28292
-1,1,28133
-1,-1,27500
1,1,27940
-1,-1,27534
1,1,27665
1,-1,27993
1,1,27995
1,-1,28032
-1,1,27901
-1,-1,27657
-1,-1,27147
1,1,27288
-1,1,26763
1,1,26815
1,-1,27173
1,1,27584
-1,-1,27452
1,-1,27781
1,1,27816
-1,-1,27682
1,1,28148
-1,-1,27772
1,-1,28303
1,1,28425
1,-1,28586
1,1,28837
-1,-1,28679
-1,-1,28514
-1,1,28494
1,1,28606
-1,-1,28195
1,1,28308
-1,-1,28210
1,1,28363
-1,-1,28335
-1,1,27685
-1,-1,27463
-1,1,26519
1,1,26659
-1,-1,26501
1,1,26925
1,-1,27480
1,1,27847
1,-1,28390
-1,1,28323
1,-1,29157
1,1,29420
-1,-1,29397
-1,1,29080
1,-1,29479
1,1,29950
-1,-1,29783
-1,-1,29438
1,-1,29483
